z (nm)	 No trap	 Trap (0.8 nm)	 Trap (1 nm)	 Trap (both)
2.2799999999999994	1.0205281371009467	0.6368460657157285	0.761126467398819	0.022215349075129596	
2.34	1.0194504657952947	0.6271410614158706	0.7501204072733434	0.02159401980907494	
2.3999999999999995	1.0182153380843728	0.6182059893563304	0.7399673536567016	0.021032097419769365	
2.46	1.0168330186692855	0.6100469937800673	0.730677642191935	0.02052801546108541	
2.5199999999999996	1.0153149955083218	0.6026688859376447	0.7222598051210662	0.020080349899887814	
2.58	1.0136738843446793	0.596074855285327	0.7147202591866479	0.019687786119138746	
2.6399999999999997	1.0119233238615684	0.5902661944949692	0.7080630084718166	0.019349087832470094	
2.7	1.010077862336032	0.5852420411423602	0.7022893655171696	0.01906306788743984	
2.76	1.0081528367334651	0.5809991388359259	0.6973976939260875	0.018828560956353484	
2.8199999999999994	1.0061642452476185	0.5775316204182334	0.6933831755153477	0.01864439813233318	
2.88	1.0041286143453834	0.5748308157190741	0.6902376048858188	0.018509383464286894	
2.9399999999999995	1.0020628614212794	0.5728850861620769	0.6879492140801143	0.018422272477634852	
3.0	0.9999841542030935	0.5716796883282881	0.6865025297621974	0.018381752738197126	
